artifact_path,artifact_type,source_phase,file_size_if_available,created_or_modified_if_available,role,requires_visual_audit,requires_numeric_audit,notes
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\models\G0_no_ring_rectangular_repeat_20260619_221811.mph,model_mph,R3_ring_contactline_03_ring_geometry_position_controls,14655522,2026-06-20T00:32:16,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\models\G0_no_ring_rectangular_repeat_20260620_002015.mph,model_mph,R3_ring_contactline_03_ring_geometry_position_controls,14655864,2026-06-20T00:26:39,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\models\G1_ring_current_position_repeat.mph,model_mph,R3_ring_contactline_03_ring_geometry_position_controls,28434833,2026-06-20T00:51:15,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\models\G1_ring_current_position_repeat_20260619_221811.mph,model_mph,R3_ring_contactline_03_ring_geometry_position_controls,28433303,2026-06-20T00:51:15,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\models\G1_ring_current_position_repeat_20260620_002015.mph,model_mph,R3_ring_contactline_03_ring_geometry_position_controls,28433805,2026-06-20T01:07:45,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\models\G2_ring_deeper_submerged.mph,model_mph,R3_ring_contactline_03_ring_geometry_position_controls,28407015,2026-06-20T01:42:27,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\models\G2_ring_deeper_submerged_20260620_002015.mph,model_mph,R3_ring_contactline_03_ring_geometry_position_controls,28405492,2026-06-20T01:42:27,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\models\G2_ring_deeper_submerged_20260620_022152.mph,model_mph,R3_ring_contactline_03_ring_geometry_position_controls,28406411,2026-06-20T02:54:01,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\models\G3_ring_far_below_surface.mph,model_mph,R3_ring_contactline_03_ring_geometry_position_controls,28339652,2026-06-20T02:17:41,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\models\G3_ring_far_below_surface_20260620_002015.mph,model_mph,R3_ring_contactline_03_ring_geometry_position_controls,28338128,2026-06-20T02:17:41,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\models\G3_ring_far_below_surface_20260620_022152.mph,model_mph,R3_ring_contactline_03_ring_geometry_position_controls,28338086,2026-06-20T03:35:21,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\models\G4_ring_above_surface_air_side.mph,model_mph,R3_ring_contactline_03_ring_geometry_position_controls,28502792,2026-06-20T02:42:10,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\models\G4_ring_above_surface_air_side_20260620_002015.mph,model_mph,R3_ring_contactline_03_ring_geometry_position_controls,28501263,2026-06-20T02:42:10,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\models\G5_ring_thinner_or_smaller_gap_control.mph,model_mph,R3_ring_contactline_03_ring_geometry_position_controls,28847169,2026-06-20T03:10:22,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\models\G5_ring_thinner_or_smaller_gap_control_20260620_002015.mph,model_mph,R3_ring_contactline_03_ring_geometry_position_controls,28845627,2026-06-20T03:10:22,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\reports\ring_geometry_position_controls_report.md,report_markdown,R3_ring_contactline_03_ring_geometry_position_controls,418,2026-06-20T06:23:01,narrative report / gate evidence,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\03_ring_geometry_position_controls\tables\ring_geometry_position_cases.csv,table_csv,R3_ring_contactline_03_ring_geometry_position_controls,5668,2026-06-20T03:35:21,numeric/tabular evidence for reviewer audit,NO,YES,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\exports\W0_current_wettedwall.java,export_java,R3_ring_contactline_04_wettedwall_contactline_controls,19170,2026-06-20T04:08:12,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\exports\W0_current_wettedwall_20260620_022152.java,export_java,R3_ring_contactline_04_wettedwall_contactline_controls,19202,2026-06-20T04:08:12,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\exports\W10_plain_wall_no_wettedwall_diagnostic.java,export_java,R3_ring_contactline_04_wettedwall_contactline_controls,18368,2026-06-20T07:23:52,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\exports\W10_plain_wall_no_wettedwall_diagnostic_20260620_022152.java,export_java,R3_ring_contactline_04_wettedwall_contactline_controls,18400,2026-06-20T07:23:52,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\exports\W2_contact_angle_60deg.java,export_java,R3_ring_contactline_04_wettedwall_contactline_controls,19173,2026-06-20T04:40:29,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\exports\W2_contact_angle_60deg_20260620_022152.java,export_java,R3_ring_contactline_04_wettedwall_contactline_controls,19205,2026-06-20T04:40:29,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\exports\W3_contact_angle_120deg.java,export_java,R3_ring_contactline_04_wettedwall_contactline_controls,19178,2026-06-20T05:12:37,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\exports\W3_contact_angle_120deg_20260620_022152.java,export_java,R3_ring_contactline_04_wettedwall_contactline_controls,19210,2026-06-20T05:12:37,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\exports\W4_contact_angle_150deg.java,export_java,R3_ring_contactline_04_wettedwall_contactline_controls,19178,2026-06-20T05:44:45,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\exports\W4_contact_angle_150deg_20260620_022152.java,export_java,R3_ring_contactline_04_wettedwall_contactline_controls,19210,2026-06-20T05:44:45,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\exports\W7_user_defined_slip_0p1mm.java,export_java,R3_ring_contactline_04_wettedwall_contactline_controls,19186,2026-06-20T06:17:50,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\exports\W7_user_defined_slip_0p1mm_20260620_022152.java,export_java,R3_ring_contactline_04_wettedwall_contactline_controls,19218,2026-06-20T06:17:50,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\exports\W8_user_defined_slip_0p5mm.java,export_java,R3_ring_contactline_04_wettedwall_contactline_controls,19186,2026-06-20T06:51:22,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\exports\W8_user_defined_slip_0p5mm_20260620_022152.java,export_java,R3_ring_contactline_04_wettedwall_contactline_controls,19218,2026-06-20T06:51:22,COMSOL Java export for construction audit,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\images\wettedwall_contact_angle_summary.png,image_png,R3_ring_contactline_04_wettedwall_contactline_controls,3575,2026-06-20T07:23:52,visual evidence for reviewer audit,YES,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\images\wettedwall_slip_summary.png,image_png,R3_ring_contactline_04_wettedwall_contactline_controls,3575,2026-06-20T07:23:52,visual evidence for reviewer audit,YES,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\models\W0_current_wettedwall.mph,model_mph,R3_ring_contactline_04_wettedwall_contactline_controls,28434501,2026-06-20T04:08:12,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\models\W0_current_wettedwall_20260620_022152.mph,model_mph,R3_ring_contactline_04_wettedwall_contactline_controls,28432981,2026-06-20T04:08:11,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\models\W10_plain_wall_no_wettedwall_diagnostic.mph,model_mph,R3_ring_contactline_04_wettedwall_contactline_controls,36088541,2026-06-20T07:23:52,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\models\W10_plain_wall_no_wettedwall_diagnostic_20260620_022152.mph,model_mph,R3_ring_contactline_04_wettedwall_contactline_controls,36087013,2026-06-20T07:23:51,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\models\W2_contact_angle_60deg.mph,model_mph,R3_ring_contactline_04_wettedwall_contactline_controls,28434845,2026-06-20T04:40:29,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\models\W2_contact_angle_60deg_20260620_022152.mph,model_mph,R3_ring_contactline_04_wettedwall_contactline_controls,28433324,2026-06-20T04:40:28,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\models\W3_contact_angle_120deg.mph,model_mph,R3_ring_contactline_04_wettedwall_contactline_controls,28435193,2026-06-20T05:12:37,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\models\W3_contact_angle_120deg_20260620_022152.mph,model_mph,R3_ring_contactline_04_wettedwall_contactline_controls,28433671,2026-06-20T05:12:36,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\models\W4_contact_angle_150deg.mph,model_mph,R3_ring_contactline_04_wettedwall_contactline_controls,28434995,2026-06-20T05:44:45,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\models\W4_contact_angle_150deg_20260620_022152.mph,model_mph,R3_ring_contactline_04_wettedwall_contactline_controls,28433473,2026-06-20T05:44:45,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\models\W7_user_defined_slip_0p1mm.mph,model_mph,R3_ring_contactline_04_wettedwall_contactline_controls,28435256,2026-06-20T06:17:50,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\models\W7_user_defined_slip_0p1mm_20260620_022152.mph,model_mph,R3_ring_contactline_04_wettedwall_contactline_controls,28433731,2026-06-20T06:17:50,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\models\W8_user_defined_slip_0p5mm.mph,model_mph,R3_ring_contactline_04_wettedwall_contactline_controls,28434941,2026-06-20T06:51:22,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\models\W8_user_defined_slip_0p5mm_20260620_022152.mph,model_mph,R3_ring_contactline_04_wettedwall_contactline_controls,28433416,2026-06-20T06:51:21,COMSOL model artifact; not re-executed by T002,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\reports\wettedwall_contactline_controls_report.md,report_markdown,R3_ring_contactline_04_wettedwall_contactline_controls,126,2026-06-20T07:23:52,narrative report / gate evidence,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\04_wettedwall_contactline_controls\tables\wettedwall_contactline_cases.csv,table_csv,R3_ring_contactline_04_wettedwall_contactline_controls,12568,2026-06-20T07:23:52,numeric/tabular evidence for reviewer audit,NO,YES,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\logs\06_R3_ring_contactline_isolation_20260619_214105.log,log_text,R3_ring_contactline_top,1115,2026-06-19T22:16:22,execution trace / negative evidence,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\logs\06_R3_ring_contactline_isolation_20260619_221811.log,log_text,R3_ring_contactline_top,978,2026-06-20T00:32:16,execution trace / negative evidence,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\logs\06_R3_ring_contactline_isolation_20260620_002015.log,log_text,R3_ring_contactline_top,691,2026-06-20T02:42:11,execution trace / negative evidence,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\logs\06_R3_ring_contactline_isolation_20260620_022152.log,log_text,R3_ring_contactline_top,936,2026-06-20T06:51:22,execution trace / negative evidence,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\logs\06_R3_ring_contactline_isolation_20260620_062253.log,log_text,R3_ring_contactline_top,377,2026-06-20T06:23:01,execution trace / negative evidence,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\reports\06_R3_ring_contactline_isolation_final_report.md,report_markdown,R3_ring_contactline_top,1315,2026-06-20T06:23:01,narrative report / gate evidence,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\reports\06_R3_ring_contactline_isolation_summary.json,data_json,R3_ring_contactline_top,16924,2026-06-20T06:23:01,structured summary or raw row evidence,NO,YES,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\scripts\ring_fountain_06_R3_ring_contactline_isolation.py,script_python,R3_ring_contactline_top,72846,2026-06-20T06:22:35,reproducibility script,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\scripts\ring_fountain_06_R3_ring_contactline_isolation_20260619_214105.py,script_python,R3_ring_contactline_top,62713,2026-06-19T21:40:46,reproducibility script,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\scripts\ring_fountain_06_R3_ring_contactline_isolation_20260619_221811.py,script_python,R3_ring_contactline_top,64557,2026-06-19T22:17:42,reproducibility script,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\scripts\ring_fountain_06_R3_ring_contactline_isolation_20260620_002015.py,script_python,R3_ring_contactline_top,68294,2026-06-20T00:20:00,reproducibility script,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\scripts\ring_fountain_06_R3_ring_contactline_isolation_20260620_022152.py,script_python,R3_ring_contactline_top,71028,2026-06-20T02:21:31,reproducibility script,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\scripts\ring_fountain_06_R3_ring_contactline_isolation_20260620_062253.py,script_python,R3_ring_contactline_top,72846,2026-06-20T06:22:35,reproducibility script,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\scripts\ring_fountain_06_R3_ring_contactline_isolation_pre_20260619_221811.py,script_python,R3_ring_contactline_top,62713,2026-06-19T21:40:46,reproducibility script,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\scripts\ring_fountain_06_R3_ring_contactline_isolation_pre_20260620_002015.py,script_python,R3_ring_contactline_top,64557,2026-06-19T22:17:42,reproducibility script,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\scripts\ring_fountain_06_R3_ring_contactline_isolation_pre_20260620_022152.py,script_python,R3_ring_contactline_top,68294,2026-06-20T00:20:00,reproducibility script,NO,NO,existing R3 evidence; original artifact not modified
D:\_COMSOL_FILE_SAVE_\COMSOL_Ring_Fountain\06_true_moving_geometry_R3_ring_contactline_isolation\scripts\ring_fountain_06_R3_ring_contactline_isolation_pre_20260620_062253.py,script_python,R3_ring_contactline_top,71028,2026-06-20T02:21:31,reproducibility script,NO,NO,existing R3 evidence; original artifact not modified
